molecule_chembl_id,canonical_smiles,standard_value,standard_units,molecule_pref_name
CHEMBL329142,Clc1cccc(-c2cnn3cc(-c4ccncc4)cnc23)c1,350.0,nM,
CHEMBL330042,c1cc(-c2cnn3cc(C4CCCCC4)cnc23)cs1,280.0,nM,
CHEMBL420528,O=S(=O)(NC1CCNC1)c1ccc2[nH]c(-c3cc4ccccc4nc3O)cc2c1,14.0,nM,
CHEMBL96569,C1=C(c2cnn3cc(-c4ccncc4)cnc23)CCCC1,41.0,nM,
CHEMBL118748,O=C(O)C1CCN(CCCOc2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)CC1,8.0,nM,
CHEMBL117052,NC1CCN(C(=O)c2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)C1,5.0,nM,
CHEMBL327029,O=c1ccc2ccccc2cc1-c1nc2ccccc2[nH]1,355.0,nM,
CHEMBL119552,O=C(c1ccc2[nH]c(-c3cc4ccccc4nc3O)cc2c1)N1CCNCC1,5.0,nM,
CHEMBL118832,O=S(=O)(c1ccc2[nH]c(-c3cc4ccccc4nc3O)cc2c1)N1CCNCC1,11.0,nM,
CHEMBL317566,COc1cccc(-c2cnn3cc(-c4ccncc4)cnc23)c1,510.0,nM,
CHEMBL329457,COc1ccc(-c2cnc3c(-c4cccnc4)cnn3c2)cc1,41.0,nM,
CHEMBL323838,NC1CCN(S(=O)(=O)c2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)C1,16.0,nM,
CHEMBL333297,Oc1nc2ccccc2cc1-c1cc2cc(OCCN3CCCCC3)ccc2[nH]1,4.0,nM,
CHEMBL118569,COCCN(C)CCOc1ccc2[nH]c(-c3cc4ccccc4nc3O)cc2c1,7.0,nM,
CHEMBL92238,c1ccc(-c2cnn3cc(-c4ccccn4)cnc23)cc1,88.0,nM,
CHEMBL94542,C1=C(c2cnn3cc(-c4ccncc4)cnc23)CCC1,28.0,nM,
CHEMBL118440,O=c1[nH]c2ccccc2cc1-c1nc2ccccc2[nH]1,45.0,nM,
CHEMBL83656,COc1ccc(-c2cnc3c(-c4ccccc4)cnn3c2)cc1,71.0,nM,
CHEMBL325003,O=C(NC1CCNC1)c1ccc2[nH]c(-c3cc4ccccc4nc3O)cc2c1,6.0,nM,
CHEMBL328790,Clc1ccc(-c2cnc3c(-c4ccncc4)cnn3c2)cc1,113.0,nM,
CHEMBL119276,CC(=O)N1CCN(CCOc2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)CC1,4.0,nM,
CHEMBL92279,c1cc(-c2cnc3c(-c4ccncc4)cnn3c2)ccn1,224.0,nM,
CHEMBL92564,COc1ccc(-c2cnc3c(-c4ccccn4)cnn3c2)cc1,1000.0,nM,
